nm	XPyn	Pyn	XPynMOF	PynMOF
328	113.1	0.0534626049254552	116.1	0.0648322197385738
327	113.1	0.0534626049254552	117	0.0681858617461617
326	113.4	0.0546130545568878	117.6	0.0704073217401197
325	113.2	0.0538464268522526	117.8	0.0711452904510828
324	114.3	0.0580462303952817	119.7	0.0780941504064107
323	114.7	0.0595634179012677	120.4	0.0806264869218058
322	114.5	0.0588054866759068	121.9	0.086003705618382
321	114.7	0.0595634179012677	122.5	0.0881360887005513
320	115.1	0.0610753236297918	123.3	0.0909630765957316
319	115.8	0.0637085593914174	124.8	0.0962145853464052
318	116.3	0.0655797147284484	125.6	0.0989896394011773
317	115.6	0.0629578340845102	127.5	0.105510184769974
316	116.8	0.0674428427763807	128.6	0.109240968588203
315	116.6	0.0666985504229952	130.5	0.1156105116743
314	116.8	0.0674428427763807	132.2	0.121231455149621
313	117.7	0.0707764628434347	134	0.127104798364808
312	117.9	0.0715138050950892	136.1	0.133858125203335
311	118.3	0.0729847446279304	137.6	0.138618433899492
310	119.5	0.0773679052841565	140.4	0.147367107793786
309	119.2	0.0762762554042177	143.5	0.156851901070011
308	120	0.0791812460476248	145.6	0.163161374977018
307	120.7	0.0817072700973492	147.8	0.169674434058807
306	120.8	0.082066934285113	151.3	0.179838928023187
305	122.3	0.0874264570362854	154.9	0.190051417759206
304	122	0.0863598306747482	158.2	0.199206479161658
303	123.3	0.0909630765957316	162.2	0.210050849875137
302	124.1	0.0937717814987298	167.1	0.222976449893391
301	124.2	0.0941215958405614	169.8	0.229937685907934
300	126.5	0.102090525511837	174.7	0.242292904982931
299	126.6	0.102433705681336	179.4	0.253822438708073
298	128.4	0.108565023732834	184.6	0.266231696689893
297	129.3	0.111598524880394	189.6	0.277838333002047
296	130.4	0.115277591395901	194.3	0.288472800599783
295	131.6	0.119255889277937	200.9	0.302979936748249
294	133.2	0.124504224834282	206.1	0.314077991779213
293	134.2	0.127752515832973	211.6	0.325515663363148
292	135.4	0.131618664349126	216.7	0.335858911319818
291	136.1	0.133858125203335	222.3	0.346939462698991
290	137.6	0.138618433899492	228.1	0.358125285276649
289	138.7	0.142076461073285	232.5	0.366422957225973
288	140.1	0.146438135285775	237.6	0.375846436309156
287	141.1	0.149527013754348	243.3	0.386142108930819
286	141.5	0.150756439860309	247	0.392696953259666
285	142.8	0.154728207440156	251.2	0.400019635065158
284	145.4	0.162564406523019	254.5	0.405687786672778
283	144.9	0.161068385471175	256.6	0.40925665203891
282	146.8	0.166726055580052	259.3	0.413802516769352
281	148.4	0.171433900943008	262	0.418301291319745
280	149.7	0.175221800343052	263	0.419955748489758
279	151	0.178976947293169	263.8	0.421274791210346
278	152.8	0.184123354239671	264.1	0.421768401206924
277	154.5	0.188928483760853	264.1	0.421768401206924
276	155.9	0.192846115188842	264.4	0.422261450813603
275	159.3	0.202215775801132	263.5	0.420780619548565
274	160.8	0.206286044412433	261.5	0.417471693203293
273	163.2	0.212720154417842	260.5	0.415807727635543
272	165	0.217483944213906	258.7	0.412796428716543
271	168.4	0.226342087163631	256.3	0.408748606184244
270	171.3	0.233757362965511	255.2	0.406880670049125
269	175.4	0.244029589030022	251.7	0.400883215548363
268	179.2	0.253338005326106	251.4	0.400365273349939
267	183.6	0.263872676865224	249.9	0.39776625612645
266	186.6	0.270911639410481	246.2	0.391288048595297
265	190.3	0.279438788287021	245.8	0.390581878550435
264	194.9	0.289811839117621	244.6	0.388456452700267
263	198.1	0.296884475538547	242.2	0.384174138807033
262	200.6	0.302330928684399	242.3	0.384353414137506
261	204	0.309630167425899	240.9	0.381836799998343
260	205.1	0.311965660368366	237.6	0.375846436309156
259	207.4	0.316808752053022	239.1	0.378579576115775
258	208	0.318063334962762	237.9	0.376394442037266
257	207.9	0.317854489331469	236	0.372912002970107
256	207.7	0.317436496535099	234.4	0.369957607346053
255	207	0.315970345456918	233.3	0.367914738793753
254	204.5	0.310693312343361	230.3	0.362293937964231
253	201.1	0.303412070596742	227.9	0.357744325180376
252	195.5	0.291146761731886	223.4	0.34908316877959
251	187.1	0.27207378750001	214.7	0.331832044436249
250	173.5	0.239299479126893	205.2	0.312177356439779
